,Ticker 1,Ticker 2,Mean,Standard Deviation,Range
82,PYPL,NAVI,60.00226701024067,9.58920722095769,35.92033004760742
83,PYPL,AGM-A,-68.62214882785537,10.278110765164449,52.08000183105469
84,PYPL,OPFI,66.28881835171497,9.521202617126825,34.62955904006958
85,SYF,SOFI,43.97438253264829,4.947139339923029,21.085453987121582
86,SYF,ALLY,19.12009484317887,8.478648027810502,28.034996032714844
87,SYF,UPST,5.373840355011354,9.877012823412446,49.41518974304199
88,SYF,OMF,7.1594841279179215,4.496884338991892,17.91844940185547
89,SYF,SLM,29.76896289074756,6.39292245593636,24.607580184936523
90,SYF,CACC,-428.9751358338628,34.866102622478735,197.55519485473633
91,SYF,FCFS,-58.24269805663082,12.449575450614178,45.52585983276367
92,SYF,NNI,-54.186552484351466,8.168779679941284,28.74109649658203
93,SYF,BFH,2.7423647685223314,4.078438517474078,18.47170639038086
94,SYF,ENVA,-35.52838865532932,7.641207029038508,35.69550323486328
95,SYF,WU,45.2248679433003,8.284253378552084,29.074539184570312
96,SYF,NAVI,41.6664687543509,8.013331788183363,27.275208473205566
97,SYF,AGM-A,-86.95794708374514,9.40268052553683,45.5538215637207
98,SYF,OPFI,47.953020095825195,6.409676216942398,26.097832679748535
99,SOFI,ALLY,-24.854287689469427,4.988438416427664,17.2555570602417
100,SOFI,UPST,-38.60054217763694,13.327396577573412,58.679996967315674
101,SOFI,OMF,-36.81489840473037,2.204697074687343,11.502897262573242
102,SOFI,SLM,-14.205419641900733,2.6037103466989873,11.849719047546387
103,SOFI,CACC,-472.9495183665111,34.5026490688272,197.0699987411499
104,SOFI,FCFS,-102.2170805892791,8.880776626908617,37.62031841278076
105,SOFI,NNI,-98.16093501699976,5.165484196356967,23.912531852722168
106,SOFI,BFH,-41.23201776412596,4.380803730039717,18.131707191467285
107,SOFI,ENVA,-79.50277118797761,10.044873682931788,48.35999774932861
108,SOFI,WU,1.2504854106520074,3.9301468736925953,13.194212436676025
109,SOFI,NAVI,-2.3079137782973937,3.9083684824278624,12.271069526672363
110,SOFI,AGM-A,-130.93232961639342,10.0802321164725,46.589988231658936
111,SOFI,OPFI,3.978637563176902,2.2959653810885587,11.043235301971436
112,ALLY,UPST,-13.746254488167514,16.984130615011907,68.97655296325684
113,ALLY,OMF,-11.960610715260946,4.661110142704433,16.156845092773438
114,ALLY,SLM,10.648868047568692,5.722543078874706,21.181177139282227
115,ALLY,CACC,-448.0952306770417,32.982446293234055,184.71774291992188
116,ALLY,FCFS,-77.36279289980969,9.77686678203214,41.09101486206055
117,ALLY,NNI,-73.30664732753034,5.685503731135667,26.900650024414062
118,ALLY,BFH,-16.377730074656537,6.051369798545018,27.447540283203125
119,ALLY,ENVA,-54.64848349850819,13.896623501007092,57.627315521240234
120,ALLY,WU,26.104773100121434,2.681675912012739,12.377102851867676
121,ALLY,NAVI,22.546373911172033,2.529924017915695,11.132614135742188
122,ALLY,AGM-A,-106.078041926924,10.162295726022451,45.82072830200195
123,ALLY,OPFI,28.832925252646326,4.977220953207462,18.320496797561646
124,UPST,OMF,1.7856437729065677,13.239387189975403,58.66229248046875
125,UPST,SLM,24.395122535736206,14.465458622395959,58.31732749938965
126,UPST,CACC,-434.34897618887413,39.79942371431146,210.29999923706055
127,UPST,FCFS,-63.616538411642175,19.092960259024284,67.30520248413086
128,UPST,NNI,-59.56039283936282,15.868090584252286,63.679006576538086
129,UPST,BFH,-2.6314755864890227,12.008995226753902,55.96821975708008
130,UPST,ENVA,-40.902229010340676,8.01036527029942,43.64999961853027
131,UPST,WU,39.85102758828895,16.667067228499604,68.64275169372559
132,UPST,NAVI,36.29262839933955,16.41110346866587,67.85650539398193
133,UPST,AGM-A,-92.33178743875649,14.395801450155876,76.93281173706055
134,UPST,OPFI,42.57917974081384,14.671425433447226,58.95224189758301
135,OMF,SLM,22.60947876282964,3.4195559246256337,14.45488166809082
136,OMF,CACC,-436.13461996178074,33.4992973420492,192.08729553222656
137,OMF,FCFS,-65.40218218454874,9.495580590673939,38.55539321899414
138,OMF,NNI,-61.34603661226939,5.308875034078312,20.891277313232422
139,OMF,BFH,-4.41711935939559,3.8878299379641246,17.3414306640625
140,OMF,ENVA,-42.68787278324724,10.087105030509655,46.661075592041016
141,OMF,WU,38.065383815382376,4.573345147186301,16.19389247894287
142,OMF,NAVI,34.50698462643298,4.353261749164695,16.506226539611816
143,OMF,AGM-A,-94.11743121166306,9.288586467335923,43.699432373046875
144,OMF,OPFI,40.793535967907275,3.166586081250502,16.478376388549805
145,SLM,CACC,-458.74409872461035,33.75832469887251,191.92762756347656
146,SLM,FCFS,-88.01166094737837,7.145218472723049,31.493812561035156
147,SLM,NNI,-83.95551537509903,4.874867012132933,25.989952087402344
148,SLM,BFH,-27.02659812222523,6.151405535887181,23.32324981689453
149,SLM,ENVA,-65.29735154607688,10.554769641348935,47.077701568603516
150,SLM,WU,15.45590505255274,4.676006768912712,16.21813678741455
151,SLM,NAVI,11.897505863603339,4.801864358209335,16.169668197631836
152,SLM,AGM-A,-116.7269099744927,11.32078065933045,46.93172645568848
153,SLM,OPFI,18.184057205077636,1.7550028374813298,8.600232124328613
154,CACC,FCFS,370.73243777723195,35.36624475205308,194.3151397705078
155,CACC,NNI,374.7885833495113,34.90560659978911,198.0469512939453
156,CACC,BFH,431.71750060238514,34.677670739436145,193.1639060974121
157,CACC,ENVA,393.4467471785335,37.079403574882974,208.8699951171875
158,CACC,WU,474.2000037771631,34.368140690382404,192.28159618377686
159,CACC,NAVI,470.6416045882137,34.5339031617792,192.27907752990723
160,CACC,AGM-A,342.01718875011767,34.36411891592869,178.81483459472656
161,CACC,OPFI,476.928155929688,34.02389707046441,194.75905513763428
162,FCFS,NNI,4.056145572279352,8.075984240067157,43.73612976074219
163,FCFS,BFH,60.98506282515315,11.529092327822854,47.45189666748047
164,FCFS,ENVA,22.714309401301495,14.243084286773216,53.451629638671875
165,FCFS,WU,103.46756599993113,8.834547102155504,36.18450736999512
166,FCFS,NAVI,99.90916681098172,8.937595791055763,36.18830585479736
167,FCFS,AGM-A,-28.715249027114318,16.054436510549735,63.83924102783203
168,FCFS,OPFI,106.19571815245601,7.35924776585937,32.466360092163086
169,NNI,BFH,56.9289172528738,6.9236695158058295,27.904586791992188
170,NNI,ENVA,18.658163829022143,12.076970009724088,45.05149841308594
