Date,GE-RTX,GE-BA,GE-LMT,GE-TDG,GE-GD,GE-HWM,GE-NOC,GE-AXON,GE-LHX,RTX-BA,RTX-LMT,RTX-TDG,RTX-GD,RTX-HWM,RTX-NOC,RTX-AXON,RTX-LHX,BA-LMT,BA-TDG,BA-GD,BA-HWM,BA-NOC,BA-AXON,BA-LHX,LMT-TDG,LMT-GD,LMT-HWM,LMT-NOC,LMT-AXON,LMT-LHX,TDG-GD,TDG-HWM,TDG-NOC,TDG-AXON,TDG-LHX,GD-HWM,GD-NOC,GD-AXON,GD-LHX,HWM-NOC,HWM-AXON,HWM-LHX,NOC-AXON,NOC-LHX,AXON-LHX
2024-09-13,59.843719482421875,20.368057250976562,-381.2235107421875,-1118.334716796875,-121.40118408203125,82.06080627441406,-335.6905517578125,-202.471923828125,-49.183563232421875,-39.47566223144531,-441.0672302246094,-1178.1784362792969,-181.24490356445312,22.217086791992188,-395.5342712402344,-262.3156433105469,-109.02728271484375,-401.59156799316406,-1138.7027740478516,-141.7692413330078,61.6927490234375,-356.05860900878906,-222.83998107910156,-69.55162048339844,-737.1112060546875,259.82232666015625,463.28431701660156,45.532958984375,178.7515869140625,332.0399475097656,996.9335327148438,1200.395523071289,782.6441650390625,915.86279296875,1069.1511535644531,203.4619903564453,-214.28936767578125,-81.07073974609375,72.21762084960938,-417.75135803222656,-284.53273010253906,-131.24436950683594,133.2186279296875,286.5069885253906,153.28836059570312
2024-09-16,62.904693603515625,24.727798461914062,-381.0327453613281,-1120.0823059082031,-120.9549560546875,85.34024810791016,-334.0209655761719,-205.4921875,-47.95472717285156,-38.17689514160156,-443.93743896484375,-1182.9869995117188,-183.85964965820312,22.43555450439453,-396.9256591796875,-268.3968811035156,-110.85942077636719,-405.7605438232422,-1144.8101043701172,-145.68275451660156,60.612449645996094,-358.74876403808594,-230.21998596191406,-72.68252563476562,-739.049560546875,260.0777893066406,466.3729934692383,47.01177978515625,175.54055786132812,333.07801818847656,999.1273498535156,1205.4225540161133,786.0613403320312,914.5901184082031,1072.1275787353516,206.29520416259766,-213.06600952148438,-84.5372314453125,73.00022888183594,-419.36121368408203,-290.83243560791016,-133.29497528076172,128.52877807617188,286.0662384033203,157.53746032714844
2024-09-17,62.264610290527344,22.784927368164062,-376.34539794921875,-1123.5814208984375,-118.43386840820312,84.78620910644531,-334.6107177734375,-203.39508056640625,-47.087615966796875,-39.47968292236328,-438.6100082397461,-1185.8460311889648,-180.69847869873047,22.52159881591797,-396.87532806396484,-265.6596908569336,-109.35222625732422,-399.1303253173828,-1146.3663482666016,-141.2187957763672,62.00128173828125,-357.39564514160156,-226.1800079345703,-69.87254333496094,-747.2360229492188,257.9115295410156,461.13160705566406,41.73468017578125,172.9503173828125,329.2577819824219,1005.1475524902344,1208.3676300048828,788.970703125,920.1863403320312,1076.4938049316406,203.22007751464844,-216.17684936523438,-84.96121215820312,71.34625244140625,-419.3969268798828,-288.18128967285156,-131.8738250732422,131.21563720703125,287.5231018066406,156.30746459960938
2024-09-18,66.1434097290039,27.264297485351562,-371.6568298339844,-1118.7245788574219,-113.794677734375,87.89576721191406,-332.2795715332031,-200.63571166992188,-43.88824462890625,-38.879112243652344,-437.8002395629883,-1184.8679885864258,-179.9380874633789,21.752357482910156,-398.42298126220703,-266.7791213989258,-110.03165435791016,-398.92112731933594,-1145.9888763427734,-141.05897521972656,60.6314697265625,-359.5438690185547,-227.90000915527344,-71.15254211425781,-747.0677490234375,257.8621520996094,459.55259704589844,39.37725830078125,171.0211181640625,327.7685852050781,1004.9299011230469,1206.620346069336,786.4450073242188,918.0888671875,1074.8363342285156,201.69044494628906,-218.48489379882812,-86.84103393554688,69.90643310546875,-420.1753387451172,-288.53147888183594,-131.7840118408203,131.64385986328125,288.3913269042969,156.74746704101562
2024-09-19,67.96866607666016,30.377593994140625,-368.7598876953125,-1131.4276733398438,-113.503173828125,87.74491119384766,-330.30792236328125,-204.77239990234375,-42.03369140625,-37.59107208251953,-436.72855377197266,-1199.396339416504,-181.47183990478516,19.7762451171875,-398.2765884399414,-272.7410659790039,-110.00235748291016,-399.1374816894531,-1161.8052673339844,-143.88076782226562,57.36731719970703,-360.6855163574219,-235.14999389648438,-72.41128540039062,-762.6677856445312,255.2567138671875,456.50479888916016,38.45196533203125,163.98748779296875,326.7261962890625,1017.9244995117188,1219.1725845336914,801.1197509765625,926.6552734375,1089.3939819335938,201.24808502197266,-216.80474853515625,-91.26922607421875,71.469482421875,-418.0528335571289,-292.5173110961914,-129.77860260009766,125.5355224609375,288.27423095703125,162.73870849609375
2024-09-20,69.89022827148438,32.93943786621094,-374.1014404296875,-1147.3850708007812,-114.33734130859375,88.98680114746094,-331.87762451171875,-207.06057739257812,-43.48057556152344,-36.95079040527344,-443.9916687011719,-1217.2752990722656,-184.22756958007812,19.096572875976562,-401.7678527832031,-276.9508056640625,-113.37080383300781,-407.04087829589844,-1180.3245086669922,-147.2767791748047,56.04736328125,-364.8170623779297,-240.00001525878906,-76.42001342773438,-773.2836303710938,259.76409912109375,463.08824157714844,42.22381591796875,167.04086303710938,330.62086486816406,1033.0477294921875,1236.3718719482422,815.5074462890625,940.3244934082031,1103.9044952392578,203.3241424560547,-217.540283203125,-92.72323608398438,70.85676574707031,-420.8644256591797,-296.04737854003906,-132.46737670898438,124.81704711914062,288.3970489501953,163.5800018310547
2024-09-23,69.0347900390625,31.1614990234375,-381.28526306152344,-1155.5770721435547,-114.30018615722656,89.0413818359375,-338.5485076904297,-206.47850036621094,-46.700653076171875,-37.873291015625,-450.32005310058594,-1224.6118621826172,-183.33497619628906,20.006591796875,-407.5832977294922,-275.51329040527344,-115.73544311523438,-412.44676208496094,-1186.7385711669922,-145.46168518066406,57.8798828125,-369.7100067138672,-237.63999938964844,-77.86215209960938,-774.2918090820312,266.9850769042969,470.32664489746094,42.73675537109375,174.8067626953125,334.58460998535156,1041.2768859863281,1244.6184539794922,817.028564453125,949.0985717773438,1108.8764190673828,203.34156799316406,-224.24832153320312,-92.17831420898438,67.59953308105469,-427.5898895263672,-295.51988220214844,-135.74203491210938,132.07000732421875,291.8478546142578,159.77784729003906
2024-09-24,70.24494171142578,32.63517761230469,-378.4596710205078,-1157.359146118164,-109.96678161621094,89.33651733398438,-334.32862854003906,-205.21482849121094,-42.77186584472656,-37.609764099121094,-448.7046127319336,-1227.6040878295898,-180.21172332763672,19.091575622558594,-404.57357025146484,-275.4597702026367,-113.01680755615234,-411.0948486328125,-1189.9943237304688,-142.60195922851562,56.70133972167969,-366.96380615234375,-237.85000610351562,-75.40704345703125,-778.8994750976562,268.4928894042969,467.7961883544922,44.13104248046875,173.24484252929688,335.68780517578125,1047.3923645019531,1246.6956634521484,823.030517578125,952.1443176269531,1114.5872802734375,199.3032989501953,-224.36184692382812,-95.248046875,67.19491577148438,-423.66514587402344,-294.5513458251953,-132.10838317871094,129.11380004882812,291.5567626953125,162.44296264648438
2024-09-25,69.07022857666016,35.89727783203125,-378.1116027832031,-1160.8694152832031,-107.37588500976562,88.60948181152344,-332.9299621582031,-207.14273071289062,-41.70106506347656,-33.172950744628906,-447.1818313598633,-1229.9396438598633,-176.44611358642578,19.53925323486328,-402.0001907348633,-276.2129592895508,-110.77129364013672,-414.0088806152344,-1196.7666931152344,-143.27316284179688,52.71220397949219,-368.8272399902344,-243.04000854492188,-77.59834289550781,-782.7578125,270.7357177734375,466.72108459472656,45.181640625,170.9688720703125,336.41053771972656,1053.4935302734375,1249.4788970947266,827.939453125,953.7266845703125,1119.1683502197266,195.98536682128906,-225.5540771484375,-99.766845703125,65.67481994628906,-421.53944396972656,-295.75221252441406,-130.310546875,125.7872314453125,291.22889709472656,165.44166564941406
2024-09-26,65.20333099365234,29.099273681640625,-382.0205535888672,-1143.4945526123047,-110.63850402832031,84.590576171875,-333.61875915527344,-209.5707244873047,-44.405487060546875,-36.10405731201172,-447.22388458251953,-1208.697883605957,-175.84183502197266,19.387245178222656,-398.8220901489258,-274.77405548095703,-109.60881805419922,-411.1198272705078,-1172.5938262939453,-139.73777770996094,55.491302490234375,-362.71803283691406,-238.6699981689453,-73.5047607421875,-761.4739990234375,271.3820495605469,466.6111297607422,48.40179443359375,172.4498291015625,337.6150665283203,1032.8560485839844,1228.0851287841797,809.8757934570312,933.923828125,1099.0890655517578,195.2290802001953,-222.98025512695312,-98.93222045898438,66.23301696777344,-418.20933532714844,-294.1613006591797,-128.99606323242188,124.04803466796875,289.21327209472656,165.1652374267578
